,symbol,initialMargin,maintMargin,unrealizedProfit,positionInitialMargin,openOrderInitialMargin,leverage,isolated,entryPrice,maxNotional,positionSide,positionAmt,notional,isolatedWallet,updateTime,bidNotional,askNotional,markPrice,indexPrice,estimatedSettlePrice,lastFundingRate,interestRate,nextFundingTime,time
28,RUNEUSDT,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,25000.0,BOTH,0.0,0.0,0.0,1650582858976.0,0.0,0.0,1.20579626,1.20570732,1.20388683,0.0001,0.0001,1668787200000.0,1668765956002.0
29,APEUSDT,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,150000.0,BOTH,0.0,0.0,0.0,1651269255196.0,0.0,0.0,2.932,2.93286159,2.93178998,0.0001,0.0001,1668787200000.0,1668765956002.0
30,BTCUSDT_221230,238.37438581,58.80647432,12.90504665,147.01618581,91.3582,20.0,0.0,16633.06062259,375000.0,BOTH,0.176,2940.32371622,0.0,1668744625094.0,1827.164,3562.2975,16706.3847513,16751.18407543,16741.07851749,0.0,0.0,0.0,1668765956002.0
31,BNXUSDT,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,8000000.0,BOTH,0.0,0.0,0.0,1655294468061.0,0.0,0.0,152.76085893,152.88406321,152.78567381,0.0001,0.0001,1668787200000.0,1668765956002.0
32,BLUEBIRDUSDT,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,25000.0,BOTH,0.0,0.0,0.0,0.0,0.0,0.0,7.5300476,7.53431644,7.5220095,0.0001,0.0001,1668787200000.0,1668765956002.0
33,CVXBUSD,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,25000.0,BOTH,0.0,0.0,0.0,0.0,0.0,0.0,3.924,3.93062277,3.92572267,-7.647e-05,0.0001,1668787200000.0,1668765956002.0
34,OPUSDT,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,25000.0,BOTH,0.0,0.0,0.0,1663974815983.0,0.0,0.0,0.90130596,0.90123948,0.9004733,0.0001,0.0001,1668787200000.0,1668765956002.0
35,DGBUSDT,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,250000.0,BOTH,0.0,0.0,0.0,1638595386735.0,0.0,0.0,0.00690931,0.0069088,0.00692819,0.0001,0.0001,1668787200000.0,1668765956002.0
36,SKLUSDT,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,25000.0,BOTH,0.0,0.0,0.0,1648222269732.0,0.0,0.0,0.02660569,0.02663708,0.02664632,0.0001,0.0001,1668787200000.0,1668765956002.0
37,FOOTBALLUSDT,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,25000.0,BOTH,0.0,0.0,0.0,0.0,0.0,0.0,922.34938778,920.54535207,911.30092682,0.00017222,0.0001,1668787200000.0,1668765956002.0
38,TOMOUSDT,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,5000.0,BOTH,0.0,0.0,0.0,0.0,0.0,0.0,0.3032,0.30386494,0.30421012,8.079e-05,0.0001,1668787200000.0,1668765956002.0
39,MTLUSDT,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,25000.0,BOTH,0.0,0.0,0.0,0.0,0.0,0.0,0.6924,0.69249641,0.69188441,0.0001,0.0001,1668787200000.0,1668765956002.0
40,LTCUSDT,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,250000.0,BOTH,0.0,0.0,0.0,1636579426320.0,0.0,0.0,62.73029289,62.75710272,62.44969575,0.0001,0.0001,1668787200000.0,1668765956002.0
41,DODOBUSD,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,25000.0,BOTH,0.0,0.0,0.0,0.0,0.0,0.0,0.11439293,0.1143845,0.11382437,0.0001,0.0001,1668787200000.0,1668765956002.0
42,KSMUSDT,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,25000.0,BOTH,0.0,0.0,0.0,0.0,0.0,0.0,24.52525607,24.53395542,24.52499921,0.0001,0.0001,1668787200000.0,1668765956002.0
43,WAVESBUSD,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,25000.0,BOTH,0.0,0.0,0.0,0.0,0.0,0.0,2.348,2.34775209,2.34549953,0.0001,0.0001,1668787200000.0,1668765956002.0
44,BNBBUSD,2586.97246516,129.34862325,-184.76573047,2586.97246516,0.0,2.0,0.0,262.5883789474,5000000.0,BOTH,-19.0,-5173.94493033,0.0,1658235168504.0,0.0,0.0,272.31289107,272.46510834,271.73964446,-3.517e-05,0.0,1668787200000.0,1668765956002.0
